name,company,area,min_salary,max_salary,description,link
数据开发,宏图云锦,成都·武侯区·铁像寺,4.0,9.0,任职要求：1. 掌握oracle，mysql数据库，熟悉SQL语言，存储过程2. 掌握kettle等etl开发工具，熟悉linux，会编写shell脚本3. 掌握帆软工具4. 熟悉数据仓库分层5. 可进行数据建模，纬度建模6. 具有供应链项目经验优先7.成都本地学校优先,https://www.zhipin.com/job_detail/b668fabcf758ab9a1XNy3du7ElNQ.html?lid=4WKPvzxPgDT.search.262&securityId=lHpViFwGlnIHl-y1S4_cq3tLOhKd3wlBrVMyseNUH9cYx5YT-8WHte0zapdSgIQGaDJv4hzcxPKoxQwZnMGvgB2uC3KbCl9btsAog1O9D7vB_77ggw~~&sessionId=
大数据标注实习生,集商网络科技,成都·武侯区·中和,4.5,6.0,岗位职责：1.负责公司介绍、产品、技术专利等大数据信息的搜集、整理；2.结合大数据信息总结模型关键词、投放模型运算，验证、校对。2.学习了解产业链，根据企业信息关联到产业链图谱上；3.对企业标注匹配的产业链、节点信息；4.采集行业数据：行业规模、政策、技术、发展格局等信息，并进行分析；5.提供实习证明，系统性培训，获得模型分析训练。任职要求：1.大学本科（含）及以上学历的在校生；2.对数据敏感，有较强的数据管理能力，精通excel数据处理，熟练使用excel透视表功能；3.全网信息搜集、检索、提炼能力强；4.有主动学习能力，独立思考能力强，认真细致。,https://www.zhipin.com/job_detail/12f384f3ee5f264d1Hdy39q4ElVR.html?lid=4WKPvzxPgDT.search.140&securityId=qzNu-G9oE9bCu-L1RE0TcMxrXJM-JSjXNd82j7dm6vU_d3yTZyRw1oxXq4L-O6GUXaRCNdCqmNflAxqgtp_vW84UJhMxmWyHHejfZKMMUx49hwvQ&sessionId=
大数据开发实习生,运泓,成都·武侯区·省体育馆,4.5,6.0,"岗位职责：1、负责数据产品的研发， 包括但是不限于数据的收集, 转化, 存储, 展示；2、负责数据仓库的设计和维护, 开发可靠, 高效准确的数据集市，并提供技术支持；3、负责维护大数据基础设施，解决大数据的集成，存储，计算，监控等问题。",https://www.zhipin.com/job_detail/99bf981cb6fe96911nJ70t64GFtW.html?lid=4WKPvzxPgDT.search.130&securityId=5m5J78-ffrRne-n1ITDyVAs4UrlUzLIMRS-B4XKyrxnhqVH-VE61NQLAKnzkXYgIvWzvd3_TuT9wyscCqXtn6Wm1b9UfUL6mrVuxnPZXnxkospdWRdk~&sessionId=
大数据分析管培生,如你所期,成都·金牛区·人民北路,5.0,6.0,福利待遇：4000底薪+提成+奖金，免费住宿，交通补助岗位职责：辅助项目主管针对公司现有产品项目做线下的市场调研，市场推广，活动方案策划，新老客户关系维系等，转正后更多是独立负责项目跟进，和团队管理.上班时间：8:40-6:30不加班晋升方向：实习生——项目主管——项目副经理——项目经理岗位要求：大专以上学历，对经验专业没有要求，应届生优先一经公司录用，会安排主管1对1带薪培训，在岗培训,https://www.zhipin.com/job_detail/b7f129818feb194b1HF72t20FlFW.html?lid=4WKPvzxPgDT.search.185&securityId=0LzvXRIDwNwN0-E1dGYSAm0pz3oFllZUEFgNPqszS9_uOy1af2C9CtUbFDcfID2uIcozs0xYsmXWNPmYxFp1kA9PLR1vu0yFiVY35f877J7T6pwLB8PU&sessionId=
大数据开发工程师,跑哪儿,成都·武侯区·银泰城,5.0,10.0,岗位职责：1.负责公司大数据平台搭建2.对数据处理的需求场景进行抽象，形成自动化工具，提升工作效率3.基于日常的需求场景，构建安全、高效、稳定的大数据平台，为业务提供更有效的数据支撑4. 参与大数据产品及项目研发5. 参与技术选型和技术文档编写6. 参与技术部门的数据仓库的架构、设计职位要求：1.2年以上分布式系统、大数据相关工作经验;2.熟悉实时数据处理，实时用户行为数据采集，清洗，存储(ETL)过程;3.掌握 Hadoop、Kafka、Zookeeper、Hbase、Spark 的安装与使用;4.熟悉MySQL数据库和NoSQL数据库;5.至少精通一门编程语言，如JAVA/python/R/SCALA等，编程能力扎实6.有丰富的spark开发经验，熟悉spark MLlib等;7.做过用户大数据分析和智能推荐系统开发者优先;,https://www.zhipin.com/job_detail/472e9fb44d892d751XF73tq-EVI~.html?lid=4WKPvzxPgDT.search.161&securityId=zNqr6UyEKdCn8-P1STzDAg9V3HUJ538AVnAvTJUq27aKiyfHZp1QtQb38JCFIZYU_6bTLqNIbHq3u6XrIE5_unNbSPv-7I7t99Op1M11fmo8&sessionId=
大数据运维工程师,春外,成都·锦江区·四川师大,5.0,7.0,1、负责公司数据库的维护及优化2、协助其他部门完成接口调试3、用python对数据进行清洗，确保数据库的准确性和完整性4、完成领导安排的其他工作任职要求：1、本科以上学历，1-2年工作经验2、了解SQL的常用命令3、熟练使用python，了解python的常用库，pandas、numpy等4、熟练操作office办公软件5、了解Linux的基本命令，能够编写shell脚本6、具有良好的学习能力，团队写作能力，工作积极主动，有责任心。,https://www.zhipin.com/job_detail/744c6c4d9f13023d1HZ52tm9GVZU.html?lid=4WKPvzxPgDT.search.124&securityId=WDnxJM6PeSr1--61rSYqX5Go5RMXwvmdcqz0J4oNXlVJnqwSiidIkJCJmfdGY_cqnjhx6lP04rZI_GvZSlWjlLEBXixmVrvLnmq4sG6VgnnABq4qLp4~&sessionId=
大数据开发讲师,北京博海迪信息科技,成都·船山区·河东新区,5.0,10.0,岗位职责：1. 按要求参与人才培养方案、课程标准、教学计划等教学文件制定；2. 按要求完成相关课程的备课并实施教学；3. 参与技术服务部的项目技术服务工作，必要时客户现场处理case；4. 辅导学生实验，答疑解惑，搭建、调试实验所需环境；5. 按要求指导学生制定学期学习计划并监督完成质量；6. 按要求完成学生专业课程的指导与辅导；7. 协助辅导员，按学校要求完成学生管理工作；8. 上级分配的其他相关工作。任职要求：1. 计算机相关专业，全日制本科及以上学历2. 掌握大数据相关组件，如hadoop、spark、f link、ES、ClickHouse等 3. 熟悉Java Web相关框架，如SpringBoot，SpingCloud等4. 至少熟悉一种数据库，如Mysql、redis、MongoDB、OpenGauss等5. 熟悉Java、Python、Scala、shell中至少俩种语言者优先6. 熟悉大数据集群，有大数据集群运维、调优能力者优先7. 拥有较好的学习能力者优先8. 拥有大数据相关认证者优先9. 拥有linux相关认证者优先,https://www.zhipin.com/job_detail/c3c45d844e09d3fe1Hd42dm8EVRX.html?lid=4WKPvzxPgDT.search.32&securityId=jiz2j4hEvW-nr-z19HPDK2Yu62K2BfS9woUgvIPcV4vuopFBuAwN8ywFFRswTKDp4Dd8eM9WPfDAJY9zgEv5Okup-DUlXcLnOMvDBDsKbZqUf0B56RHwTjCcBsxV4P2ctpX2TwzIrGt3WgkBg4B_5aE~&sessionId=
大数据开发实习生,晓多科技,成都·武侯区·新会展中心,6.0,6.6,职位描述：1、参与产品平台架构的调研、设计工作、搭建和持续优化；2、负责业务数据处理代码的开发和测试工作；3、基于分析业务需求业务的深入理解，构建数据分析模型，支持产品、运营、分析；4、负责业务相关数据指标的抽取、转换、加载，数据维护相关工作；任职要求：1、2024、2025届985、211计算机相关专业本科或硕士毕业；2、熟练掌握Java、Python、Scala中的一种语言，熟悉计算机基本数据结构及算法；3、熟悉以下技术2种以上：Hadoop、Hive、HBase、Spark；4、勤奋、踏实；良好的沟通、学习、新技术钻研能力；良好的团队合作意识；5、了解或使用过maven，熟悉SQL以及关系型数据库优先；,https://www.zhipin.com/job_detail/29691b3875b81dc81HZz0ty-EFtT.html?lid=4WKPvzxPgDT.search.54&securityId=BnRWeJguMhEDf-H1B-ZqKmUgCmqX9P_DLQxPbiJT83p4d4IGm-GUin2MyppWEA0Qs8gEC1NyyFEzLRARCGTng_rtZqEp9PyzSL16_R3_bXluPscXX0Y~&sessionId=
大数据开发工程师,成都多渔数娱网络科技,成都,6.0,10.0,岗位说明:1、支撑业务方的数据清洗、统计分析等需求。2、深入理解业务，能独立进行数据开发，通过数据赋能的方式提供数据化运营。任职要求:1、1年以上大数据开发和数据分析经验，大专及以上学历，熟练使用excel。2、熟悉大数据相关技术(如Hive、Spark-sql、ES、HBASE等)，熟练掌握sql，了解java。3、熟悉linux常用命令，熟悉shell程序的编写。4、良好的沟通、理解能力，能主动思考并解决疑难问题。,https://www.zhipin.com/job_detail/64700975ca81d81d1XJ_2di_FldY.html?lid=4WKPvzxPgDT.search.173&securityId=gLTEYLHvMuiDI-x1CV-UJd1x85LXp8j7X9hDUrQSR-g8L3LXOy7Vw7M6sLDC0SnhAQc0yfjSlZE-fxpyaZe_umkifVhTBaNaPAxVKcSyMWBoYFYlREo~&sessionId=
大数据软件销售经理,撼地大数据,成都·武侯区·紫荆,6.0,11.0,1、负责产业招商平台、产业大脑、产业一链通、制造业招商一件事等软件产品销售，实现区域覆盖；2、拜访政府部门（包括招商局、工信委、科技局、大数据局等）、管委会，与相关负责人交流汇报，挖掘客户需求及痛点；3、协同技术部门做好市场调研和可行性分析，并参与制定解决方案；4、负责宣讲和推介公司的平台和方案，参与客户的投标和相关咨询；5、持续关注相关领域的进展，为公司技术研发提供积极思路；6、完成公司交办的与商务拓展、大数据行业应用等相关的其它工作；7、具备对客户需求和行业重点的深度洞察能力；8、善于与政府领导、企业高管进行有效沟通。1、两年以上政府部门销售工作经验，具备软件系统销售优先；2、本科及以上学历优先考虑；3、对政府项目的运作及销售流程有一定的了解；4、有一定的销售能力。5、具备良好的工作态度及团队精神，积极主动、善于沟通、关注细节、学习能力强。薪酬视能力而定,https://www.zhipin.com/job_detail/5a720f8dd1990e671HB429--FFRZ.html?lid=4WKPvzxPgDT.search.138&securityId=nr1a2t66qR1go-2139HUPOfWqLCJmPVUkU5OYYuPcx88RHQuoL3AdeEP9qEVYxHPakxi6BMR9Ii25ygjuT0IJljdndFikBW2nYuk5XXUm5g6C4FEg-Y~&sessionId=
大数据开发工程师,臻佳科技,成都·双流区·航空港,6.0,8.0,本科以上学历服务端系统java开发经验，技术功底扎实聪明、好学、刻苦、上进有Hadoop相关经验优先熟悉常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等）；对机器学习/深度学习有兴趣，并具有一定的理解和研究，熟悉Tensorflow、Torch等常见框架；有实际项目开发经验者优先；薪资项目提成+股份,https://www.zhipin.com/job_detail/1796816c9147ce030nF70tq6EFo~.html?lid=4WKPvzxPgDT.search.171&securityId=isibYCcfLqIOc-l1mHCL6gcLY9RCOEnLbIQT9lbW_FrzZQFg0pNHbtRODRH2RQXkPkoPmBDqxo5BuWl9qvHLFh6SgPDO6e1rJMocsXSOI4vxLVG7&sessionId=
大数据开发工程师,成都阿特菲斯,成都·武侯区·火车南站,6.0,9.0,"岗位职责1. 熟练 Hadoop 生态体系及各组件技术，如 hive、hbase、spark、flink 等2. 熟练掌握 Linux 操作系统、ORACLE/MYSQL/Postgres 等常用数据库等；3. 熟练掌握 kettle、DataStage 等一种以上工具进行ETL流程设计、脚本编写、作业开发配置等；4. 精通数据建模、数据体系建设，具备数据仓库架构设计、模型设计；5. 擅长数据治理工作，包括数据架构设计、数据标准管理、元数据管理、数据质量管理、数据开发等；6. 了解业务侧工作，可以和业务架构形成良好协作。岗位要求1. 2 年以上相关工作经验，有大数据项目交付经验；2. 可适应经常出差、工作细心、有良好的规范化文档书写能力；3. 良好的沟通能力,自我驱动，学习能力强，高效完成领导交代的任务;4. 强烈的工作责任心和团队协作精神。",https://www.zhipin.com/job_detail/02dd6cf0a349e1681XR62du_FFdY.html?lid=4WKPvzxPgDT.search.112&securityId=vU_bk6oi6AEtl-W1Eu6tMnWH4Jv5T_1oA0oo4oTdBVI-OgR_OMBxCPXPXPIJgOvmlf83euWNiWKmZOAwQPAHDOE0YuZDO-Jgh_ee_1xevT2X7LfT7tE~&sessionId=
大数据实习生,极峰精灵,成都·武侯区·金融城,6.0,7.5,#初创的AI原生公司#应用大模型和生成式AI的能力革新，解决在香港&北美证券行业的垂直应用问题#出海！出海！出海！#我们坚信人和AI的深度融合，必定爆发数量级的生产力跃迁，小而强的团队在AI时代会极具竞争力#已有资源：	*连续成功创业者的千万级天使轮融资	* 香港的种子客户	*不受限制的客户和算力资源	*数十年证券行业的Know-how	*兼具大厂和创业经历的小伙伴#寻找热爱技术的深度研究和商业落地，心中有梦做事靠谱的算法专家和技术专家，加入这次大航海主要职责--使用ETL工具抽取、清洗、整合多个不同来源的多模态数据，包括但不限于文本、图片、视频等。--和产品、后端、算法紧密协作，通过开发高效、可重用和可靠的数据管道，构建智能的LLM数据产品。--参与数据仓库的架构设计和优化，确保数据的准确性、稳定性、和可用性。--参与AI行业趋势跟踪和研究，评估和引入新的数据源、数据技术和工具来构建高质量的海量知识库。职位要求--25届计算机、统计学、数学相关专业本科学位及以上。--熟悉SQL和至少一种编程语言（如Python、Java）。--对数据仓库、数据结构有基础理解。--积极主动、强烈的学习欲望、敢于接受挑战。--良好的团队合作精神加分项--过往在大公司有过数据研发岗的实习经验。 --有使用阿里云、腾讯云等服务经验者（如AWS、Azure、Google Cloud）。--有机器学习数据管道的经验。,https://www.zhipin.com/job_detail/0d3f9837a79171fc1HBz3ti-EFtZ.html?lid=4WKPvzxPgDT.search.49&securityId=XXPYJJVQgL2CK-X1Eel-hUOiiY8ONkzXlhcYWKbBMxXaXy_tL_Uf92jIbNA4hsJ-QW0ayISmK3SlYDBSuhqA7F0NwfjmUZ9mxQfpV_Af88IXL6CWdBmIurJBZvvQxPWDM73p4O5S5hSzV4wlRv9-6VA~&sessionId=
数据开发,四川运泽,成都·武侯区·环球中心,6.0,10.0,岗位职责：1、 根据业务需求，展现相关数据2、 优化数据库和sql语句3、 负责生产数据库和应用服务器的日常维护4、 遵守劳动纪律，服从工作安排，按时按量完成分配的任务任职要求：1、专科以上学历，1年以上相关工作经验2、精通linux操作系统3、精通mysql、oracle数据库语法4、热爱工作，有钻研精神，思维灵活，对业务数据敏感5、有报表制作，数据挖掘经验优先,https://www.zhipin.com/job_detail/3d3ef104920a2d871XVy3dS9.html?lid=4WKPvzxPgDT.search.258&securityId=HT6uner9i9wWj-A1FBaK0sICInLX-V33r6MRbodvdM4m4Jrjg6rUomtgoXjbqsYG5Xa5uVzS6kvZlFM7tjStYDInekgyj5ydGhQ53HydBw~~&sessionId=
软件工程师（大数据平台）,天择科技,成都·双流区·成都高新区,6.0,11.0,【工作内容】1. 负责公司产品与软件平台（含第三方平台）的数据推送及日常维护工作；2. 协助现场工程人员，进行设备的调试、故障排查等工作；3. 负责数据库服务器的运维管理；4. 协助项目经理保障项目的顺利验收；5. 完成领导交代的其他技术支持工作。【岗位要求】1. 专业为：计算机相关专业；2. 具有高度的责任感和敬业精神，良好的团队意识，能承受较大工作压力；3. 具有较强的分析/理解/沟通能力，能够迅速定位和分析客户的需求/问题；4. 熟练掌握SQLserver，Tomcat等工具的安装，熟悉数据库操作，熟练掌握增删改查等操作；5. 拥有一定的编程基础：懂的如何调用接口，通过接口进行数据的传输；以及通过编程向对方数据库中写入数据等；6.熟练掌握http、MQTT、水文协议者优先考虑；7、有过地灾监测、水利水电、交通、矿山等行业第三方平台数据对接经验者优先考虑。【薪资待遇】1.综合薪资（可谈）：基本工资+岗位工资+项目提成+餐补+话补+交补；2.五险一金；3.作息：朝9:00晚5:30，周末双休，法定节假日休息；4.氛围：年轻化企业，老板超nice，同事超友好；5.广阔的发展空间。主要是没有恶心的勾心斗角、阳奉阴违的复杂阶层关系，也没有繁琐的会和烦人的各种汇报，只有吃不完的零食和有爱的同事，还有搞钱！！！,https://www.zhipin.com/job_detail/3336d0c7deccb4a61Hd53NW9ElZU.html?lid=4WKPvzxPgDT.search.145&securityId=jEWFqdXRi2f2D-o1644O7zdYUe9zEagkuJ1AG6bLbRLWAGB2jdFiUjjC9xHZs1OgZzfMO3eQ4dNFTrXpks3AVjULWXsyYpTgDzE9Aj0HzuwKhXqcPcY~&sessionId=
大数据处理工程师,空间座标,成都·武侯区·高朋大道,6.0,8.0,岗位职责：1、协助项目经理完成项目的生产及交付；2、配合项目组相关人员，实现矢量数据处理的加工入库；3、编制项目报告及成果统计报表；4、数据库部署配置，超图软件及各类常见数据库配置技术难题攻关，解决各类潜在数据库技术风险，保证数据库的安全、稳定；岗位要求：1、油气储运、石油工程、地理信息系统、计算机、测绘等理工科相关专业，本科及以上学历；2、熟悉常见坐标系统，掌握坐标转换操作；3、熟练使用ArcGIS supermap等GIS软件完成数据处理、数据检查、发布操作；4、熟练使用SQL完成常见增删改查操作；5、具有良好的沟通能力；6、能适应短期出差（川渝地区），沟通能力强、工作认真负责；,https://www.zhipin.com/job_detail/22db455ef31019551HV53tS1FFtY.html?lid=4WKPvzxPgDT.search.204&securityId=5RZaHJuqTSN1E-B1kj1ZX0H19DjyX7LEQyFsaGchLSRw0dwwbcoAfIY2YEa4-JUH6RZIxIIN-b4jfP_DX9KSGh1aRHua4Bc8MfRO0Bp1y7FXW3i1Nzg~&sessionId=
数据开发工程师-医疗行业,上海蓬海涞讯,成都·新都区·新繁,7.0,12.0,工作职责：1、负责各医疗软件系统数据到数据中心的抽取、校验、分析工作；2、负责数据中心软件相关技术实施文档编写整理3、负责和医院、第三方沟通数据接口，承担前期数据抽取、整理工作；4、负责创建数据库表、视图、存储过程、函数等解决具体问题；5、负责软件培训和产品的交付验收；6、完成部门安排的其他相关工作。任职要求：1、计算机相关专业本科以上学位；2、从事医院绩效、医院BI实施、医院数据中心、医院其他信息系统实施3年以上，或数据库开发三年以上经验（医疗行业）；3、熟悉医院的常见的业务系统，如：his、lis、pacs、一体平台、智慧医院、互联互通、手麻系统、病案系统、财务系统等4、熟练掌握SQL语句的编写和优化，熟悉SQL Server数据库，熟悉医疗数据和财务数据；5、会使用常见的ETL工具，如：kettle工具6、有良好的学习与沟通能力；7、长期出差；8、了解医院的经济运营指标的优先。,https://www.zhipin.com/job_detail/3578dd3918c4a25b1XNz3N67FlZU.html?lid=4WKPvzxPgDT.search.264&securityId=B7HijCelv7T9B-t12lRABKt6buk_X7Oa0pdIcTAdHTRCsXjpMWIxMHrjSRo88Wcw7h6ovwCU092_XNe8CN2KhGSxitwq8Cbdh3gxbTcQxoO4HGRaPakSdLfrEtyQc5kXDInAW2kr-OoLQN2f84A~&sessionId=
大数据讲师,赛诚科技,成都·武侯区·环球中心,7.0,12.0,岗位职责：1、负责大数据/云计算课程体系的设计和课程产品的研发工作；2、负责大数据/云计算课程案例设计工作；3、负责大数据/云计算授课工作；任职资格：1、4年以上大数据开发/数据存储/数据平台/分析挖掘相关经验；2、熟悉Linux操作系统，掌握Shell/Python/Perl至少一种脚本语言；3、熟练掌握Java/C/C++语言，具备分布式程序设计的技术能力；4、熟悉主流大数据处理架构和相关技术，熟练应用Hadoop、Spark等平台，Hive、Pig、Storm、Impala、Oozie、Kafka、Sqoop、Flume、Zookeeper相关组件和开源系统；5、精通SQL语言，熟悉MySQL、Oracle等关系型数据库；Redis、MongoDB、HBase等NOSQL数据库；精通数据仓库技术，熟练使用常用的ETL工具；6、熟悉Lucene、ElasticSearch、Solr、Nutch等检索技术；7、熟练掌握大数据处理、分析常用算法，有数据分析和建模经验；熟练使用MatLib和R语言等工具；,https://www.zhipin.com/job_detail/16b52c35984501fd1Xd70ty_F1JY.html?lid=4WKPvzxPgDT.search.20&securityId=_4N9Ekl9UVGB--S1ARW5s-QIjgGn-zFMQmr7uI79MzhBav1ZqFvFvK67UjAxPLkQscmepRDmU3zOVRQN2BCgAuMclFSMKb6stylpGz8c-X2-k3e1KAED&sessionId=
大数据分析师,亿曦企业营销策划有限公司,成都·武侯区·河滨路,7.0,9.0,"1.主持数据中心工作。2.负责数据采集、数据分析。3.数据产品研发。任职要求：1.本科及以上学历2.有2-3年相关工作经验3.对电商数据有敏感度4.熟练使用python中的库进行数据清洗如: Numpy, Pandas等",https://www.zhipin.com/job_detail/e5fa4d35235486881XB42dW4FlpZ.html?lid=4WKPvzxPgDT.search.83&securityId=cwugT54mk2eqj-b1iLdISIIVHbsRc91vZcYfK9Apfc4EfWXMHhwA5xoB-iSNJWFibXbQ2dXVCXI_YHc5Q0O_I2Sfk7uzJS9JJ7MSawUDZBau10v4Eg~~&sessionId=
